page_id,sound_symbol,source_file,format,mapped_via,notes
SS2-1,<TO FILL FROM FLA LIBRARY>,,,,
SS2-1text,<TO FILL FROM FLA LIBRARY>,,,,
SS2-2,<TO FILL FROM FLA LIBRARY>,,,,
SS2-2text,<TO FILL FROM FLA LIBRARY>,,,,
SS2-3,<TO FILL FROM FLA LIBRARY>,,,,
SS2-3text,<TO FILL FROM FLA LIBRARY>,,,,
SS2-3a,<TO FILL FROM FLA LIBRARY>,,,,
SS2-3atext,<TO FILL FROM FLA LIBRARY>,,,,
SS2-4,<TO FILL FROM FLA LIBRARY>,,,,
SS2-4text,<TO FILL FROM FLA LIBRARY>,,,,
SS2-4a,<TO FILL FROM FLA LIBRARY>,,,,
SS2-4atext,<TO FILL FROM FLA LIBRARY>,,,,
SS2-5,<TO FILL FROM FLA LIBRARY>,,,,
SS2-5text,<TO FILL FROM FLA LIBRARY>,,,,
SS2-5a,<TO FILL FROM FLA LIBRARY>,,,,
SS2-5atext,<TO FILL FROM FLA LIBRARY>,,,,
SS2-6,<TO FILL FROM FLA LIBRARY>,,,,
SS2-6text,<TO FILL FROM FLA LIBRARY>,,,,
SS2-6a,<TO FILL FROM FLA LIBRARY>,,,,
SS2-6atext,<TO FILL FROM FLA LIBRARY>,,,,
SS2-7,<TO FILL FROM FLA LIBRARY>,,,,
SS2-7text,<TO FILL FROM FLA LIBRARY>,,,,
SS2-7a,<TO FILL FROM FLA LIBRARY>,,,,
SS2-7atext,<TO FILL FROM FLA LIBRARY>,,,,
SS2-7b,<TO FILL FROM FLA LIBRARY>,,,,
SS2-7btext,<TO FILL FROM FLA LIBRARY>,,,,
SS2-8,<TO FILL FROM FLA LIBRARY>,,,,
SS2-8text,<TO FILL FROM FLA LIBRARY>,,,,
SS2-8a,<TO FILL FROM FLA LIBRARY>,,,,
SS2-8atext,<TO FILL FROM FLA LIBRARY>,,,,
SS2-J,<TO FILL FROM FLA LIBRARY>,,,,
