page_id,fla_file,swf_file,original_html,stage_w,stage_h,type,status
SS2-1,SS2-1.fla,SS2-1.swf,SS2-1.html,684,1795,full,pending
SS2-1text,SS2-1text.fla,SS2-1text.swf,SS2-1text.html,684,1795,text,pending
SS2-2,SS2-2.fla,SS2-2.swf,SS2-2.html,684,2707,full,pending
SS2-2text,SS2-2text.fla,SS2-2text.swf,SS2-2text.html,684,2707,text,pending
SS2-3,SS2-3.fla,SS2-3.swf,SS2-3.html,684,2109,full,pending
SS2-3text,SS2-3text.fla,SS2-3text.swf,SS2-3text.html,684,2109,text,pending
SS2-3a,SS2-3a.fla,SS2-3a.swf,SS2-3a.html,684,826,full-sub,pending
SS2-3atext,SS2-3atext.fla,SS2-3atext.swf,SS2-3atext.html,684,826,text-sub,pending
SS2-4,SS2-4.fla,SS2-4.swf,SS2-4.html,684,1852,full,pending
SS2-4text,SS2-4text.fla,SS2-4text.swf,SS2-4text.html,684,1852,text,pending
SS2-4a,SS2-4a.fla,SS2-4a.swf,SS2-4a.html,684,2023,full-sub,pending
SS2-4atext,SS2-4atext.fla,SS2-4atext.swf,SS2-4atext.html,684,2023,text-sub,pending
SS2-5,SS2-5.fla,SS2-5.swf,SS2-5.html,684,1938,full,pending
SS2-5text,SS2-5text.fla,SS2-5text.swf,SS2-5text.html,684,1938,text,pending
SS2-5a,SS2-5a.fla,SS2-5a.swf,SS2-5a.html,684,1710,full-sub,pending
SS2-5atext,SS2-5atext.fla,SS2-5atext.swf,SS2-5atext.html,684,1710,text-sub,pending
SS2-6,SS2-6.fla,SS2-6.swf,SS2-6.html,684,2223,full,pending
SS2-6text,SS2-6text.fla,SS2-6text.swf,SS2-6text.html,684,2223,text,pending
SS2-6a,SS2-6a.fla,SS2-6a.swf,SS2-6a.html,684,1282,full-sub,pending
SS2-6atext,SS2-6atext.fla,SS2-6atext.swf,SS2-6atext.html,684,1282,text-sub,pending
SS2-7,SS2-7.fla,SS2-7.swf,SS2-7.html,684,2508,full,pending
SS2-7text,SS2-7text.fla,SS2-7text.swf,SS2-7text.html,684,2508,text,pending
SS2-7a,SS2-7a.fla,SS2-7a.swf,SS2-7a.html,684,2850,full-sub,pending
SS2-7atext,SS2-7atext.fla,SS2-7atext.swf,SS2-7atext.html,684,2850,text-sub,pending
SS2-7b,SS2-7b.fla,SS2-7b.swf,SS2-7b.html,684,2109,full-sub,pending
SS2-7btext,SS2-7btext.fla,SS2-7btext.swf,SS2-7btext.html,684,2109,text-sub,pending
SS2-8,SS2-8.fla,SS2-8.swf,SS2-8.html,684,2793,full,pending
SS2-8text,SS2-8text.fla,SS2-8text.swf,SS2-8text.html,684,2793,text,pending
SS2-8a,SS2-8a.fla,SS2-8a.swf,SS2-8a.html,684,2650,full-sub,pending
SS2-8atext,SS2-8atext.fla,SS2-8atext.swf,SS2-8atext.html,684,2650,text-sub,pending
SS2-J,SS2-J.fla,SS2-J.swf,SS2-J.html,684,570,jump,pending
